nazev;id_atribut_sada;scenar_nazev;typ;Průměrná_délka_života_kol;Medián_délka_života_kol;Min_délka_života_kol;Max_délka_života_kol;Směrodatná_odchylka_délky_života_kol;Počet_úmrtí;Zpusobene_poskozeni__mean;Zpusobene_poskozeni__median;Zpusobene_poskozeni__min;Zpusobene_poskozeni__max;Zpusobene_poskozeni__std;Prijate_poskozeni__mean;Prijate_poskozeni__median;Prijate_poskozeni__min;Prijate_poskozeni__max;Prijate_poskozeni__std;Utoky__mean;Utoky__median;Utoky__min;Utoky__max;Utoky__std;protiUtoky__mean;protiUtoky__median;protiUtoky__min;protiUtoky__max;protiUtoky__std;Kriticke_zasahy__mean;Kriticke_zasahy__median;Kriticke_zasahy__min;Kriticke_zasahy__max;Kriticke_zasahy__std;Uhyby__mean;Uhyby__median;Uhyby__min;Uhyby__max;Uhyby__std
Válečník_vs_Lučištník;rych_+3_luc_dos_+2;hora;lucisnik;9.96;10.0;6.0;22.0;2.95;113;1.38;0.0;0.0;9.0;1.9;0.54;0.0;0.0;6.0;1.34;0.51;1.0;0.0;1.0;0.5;0.17;0.0;0.0;1.0;0.37;0.07;0.0;0.0;2.0;0.25;0.01;0.0;0.0;1.0;0.1
Válečník_vs_Lučištník;rych_+3_luc_dos_+2;hora;valecnik;9.59;9.0;6.0;20.0;2.71;274;0.48;0.0;0.0;6.0;1.3;1.13;0.0;0.0;9.0;1.69;0.14;0.0;0.0;1.0;0.35;0.0;0.0;0.0;0.0;0.0;0.02;0.0;0.0;1.0;0.12;0.03;0.0;0.0;2.0;0.17
Válečník_vs_Lučištník;rych_+3_luc_dos_+2;rovina;lucisnik;5.18;5.0;4.0;9.0;1.05;161;2.27;0.0;0.0;10.0;2.62;1.21;0.0;0.0;6.0;1.91;0.46;0.0;0.0;1.0;0.5;0.32;0.0;0.0;1.0;0.47;0.08;0.0;0.0;2.0;0.28;0.02;0.0;0.0;1.0;0.15
Válečník_vs_Lučištník;rych_+3_luc_dos_+2;rovina;valecnik;4.96;5.0;4.0;8.0;0.91;201;1.3;0.0;0.0;6.0;1.99;1.83;0.0;0.0;10.0;2.47;0.33;0.0;0.0;1.0;0.47;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;1.0;0.18;0.04;0.0;0.0;2.0;0.2
Válečník_vs_Lučištník;rych_+3_luc_dos_+3;hora;lucisnik;9.35;9.0;6.0;19.0;2.76;46;1.44;0.0;0.0;9.0;1.86;0.48;0.0;0.0;6.0;1.28;0.54;1.0;0.0;1.0;0.5;0.15;0.0;0.0;1.0;0.36;0.06;0.0;0.0;2.0;0.25;0.01;0.0;0.0;1.0;0.1
Válečník_vs_Lučištník;rych_+3_luc_dos_+3;hora;valecnik;9.71;10.0;5.0;16.0;2.28;160;0.39;0.0;0.0;6.0;1.19;1.19;0.0;0.0;9.0;1.67;0.12;0.0;0.0;1.0;0.33;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;1.0;0.12;0.03;0.0;0.0;2.0;0.17
Válečník_vs_Lučištník;rych_+3_luc_dos_+3;rovina;lucisnik;5.14;5.0;4.0;9.0;1.2;21;2.33;2.0;0.0;10.0;2.61;1.22;0.0;0.0;6.0;1.91;0.47;0.0;0.0;1.0;0.5;0.32;0.0;0.0;1.0;0.47;0.08;0.0;0.0;2.0;0.28;0.02;0.0;0.0;1.0;0.15
Válečník_vs_Lučištník;rych_+3_luc_dos_+3;rovina;valecnik;5.32;5.0;4.0;9.0;1.2;34;1.3;0.0;0.0;6.0;1.99;1.88;0.0;0.0;10.0;2.46;0.33;0.0;0.0;1.0;0.47;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;1.0;0.17;0.04;0.0;0.0;2.0;0.2
